naslov,avtor,drzava,kategorija,st_backerjev,cilj,pridobljen_denar,uspesnost,povzetek 
The Craft Planner: Your brand new 2017 planning assistant (Canceled),Cobbery,AU,Product Design,201,15000,4666,0,"Built around a completely new concept, this unique personal planner will help you materialize your ideas in no time."
Werzid by Hoosier Made Toy Co.,Joshua A. Kirsh,US,Live Games,103,3600,6594,1,"What's a Werzid? It's a toy that engages users in authentic play.  It's a gift, an inspiration, and a fulfilling job to many people."
TAIO Bags - Where Fashion Meets Function,T C,US,Accessories,19,10000,3379,0,"A stylish & versatile bag for those who are always on the go. 1 bag, 3 styles - waist | clutch | crossbody. Beautiful pebbled leather"
Patchwork Greeting Cards,robbie burns,GB,Product Design,6,5000,57,0,"After being told there was no market for interracial or gay greetings cards, Patchwork Cards now is out to prove the naysayers wrong."
picprove.com - die App fr mehr Sicherheit unterwegs.,Thomas Volkmer,DE,Film & Video,1,25000,1,0,"Mit Klick auf Handy wird eine Serie von Bildern mit der Kamera als Beweismaterial ausgelst, an einen sicheren Server geschickt."
Wide Open Spaces,Amber,US,Photo,2,50000,21,0,"One mom four kids and a dog, reaching for the true meaning of happiness, exploring and raw look into the truth. WanderlustLiving"
The Frank Food Company,Liam McCance,SG,Farms,46,400,5943,1,"We're starting an open & honest food company for consumers that supports farmers focused on ethical buying, sustainability & organics"
Cast-Right Vertical Pen Blank Casting System,Jim Pratt,US,Fabrication Tools,70,1200,5645,1,Cast-Right is a patent-pending vertical casting system for casting pen blanks vertically; all you need is your pressure pot and epoxy.
TiAt - Multiuse Keyring,TiCarry,US,Product Design,60,3500,1763,0,"Multiuse, durable titanium keyring."
Life is What You Make It,Jhett Tolentino,US,Documentary,29,200000,2528,0,"A short documentary film written, produced and directed by Jhett Tolentino about his life from a slum in the Philippines to Broadway."
Woman Owned ComicBookStore in OKC,Ryoko Kleiger,US,Comic Books,1,50000,1,0,OKC has a stagnating comic book market. To make things worse theres also a lack of diversity. Lets fix that with a modern reboot.
Marijuana: Everything about it (The Book!),Lane Baker,US,Nonfiction,1,6000,100,0,We all know how hard it is to get a book published and going. So I want to tell the world about it!
Guild Masters,Mirror Box Games,US,Tabletop Games,464,30000,24688,0,"Expand your guild hall, hire unique workers, and craft magic items to build a legendary guild of heroes in this strategy board game."
Karol's Message,Martin Kandra,US,Festivals,19,1000,1922,1,Proceeds from this campaign will allow this unique film about courage to reach its intended audience through inclusion in festivals.
Discourse Web Series,Daniel Kostek,CA,Webseries,0,5000,0,0,A group of friends playing a game encounter a cheater and work together to stop him.
Twin Cities Jazz Sampler Volume Two,Steve Kenny,US,Jazz,27,2500,2525,1,The Twin Cities Jazz Sampler Volume Two contains 14 tracks of the best locally produced Jazz releases of the last couple of years.
The Vigil Series,Alan Booker,US,Publishing,26,3400,3671,1,"The Vigil series invites you to explore the practice of Lectio Divina, an ancient journey of praying the scriptures."
iLuun: The Smart Wireless Storage Drive For Iphone & Android,iLuun Inc,US,Gadgets,1126,50000,138958,1,"iLuun Air Allows You To Wirelessly Store, Share, & Stream Data Between Smartphones, Tablets, and Computers."
Legend the Comic,Jerry Ma,US,Graphic Novels,194,7000,11729,1,Sometimes what you dream of isn't everything you wanted. An urban legend has two brothers making choices that'll change things forever!
Nightingale - The First Smart Home Sleep System,Cambridge Sound Management,US,Sound,576,100000,107389,1,Nightingale is the first smart sleep system designed to mask common indoor and outdoor noises to help you sleep better every night.
WHEN WE WERE BLACK global,BLAKK JACK SAMM,US,Academic,0,49999,0,0,"Worldwide, global, distribution of historical, sociological, psychological, educational message in this publication."
Hyperion's Hand Wallets,Ryan Olynyk,CA,Accessories,63,500,4304,1,"Handcrafted leather wallets designed and made by hand, in Canada. Built to be rugged, dependable, and last a lifetime. Guaranteed."
Centre Circle Magazine,Anthony Williams,GB,Zines,3,3600,15,0,"We believe that the football clubs and their fans in the West Midlands need better representation, and that's what we will provide!"
The Unseen - Multiplayer FPS,Dynasty Interactive,GB,Video Games,5,1000,285,0,"FPS online multiplayer, One vs Many game mode. The Unseen vs the Swat, with the objective to hunt down and kill each other."
Children's Book Series \\,John Adam,US,Children's Books,0,2000,0,0,The \\
paperesk vol. 2 / new eye catching papercraft models,Dennis Lohmann,DE,Crafts,86,1500,1616,1,Build yourself fun and decorative paper models from templates.   Happy crafting!
SafariSeat: Open source wheelchair for developing countries.,Uji,GB,Product Design,1551,30000,90036,1,"We've designed a low cost, all terrain wheelchair for rural communities. Join us, let's make as many as possible!"
Sugar High: The Intro; New Chapter Childrens Book Series,Ryan Rector,US,Children's Books,0,5000,0,0,"Follow the outlandish adventures at Sugar High where the 2 worlds of sugary characters collide, The \\"
lingger,Asier Belaza Ortega,ES,Web,0,8000,0,0,"Casi 39.000 en 7 semanas por una idea, y el diseo era feo. Ahora viene lo mejor. Lo que viene va a cambiar las redes sociales."
Atomor: The Pen & The (Mechanical) Pencil,Atomor,GB,Design,162,5000,17578,1,"Luxury London-made solid metal writing instruments. Ergonomic. Aesthetic. Unparalleled longevity, backed by a Lifetime Warranty."
Cocoa Michelle Products,Daryl Lawrence,US,Crafts,1,202,20,0,"Made to order, handmade hair care products from butters to oils for all hair types."
Lethe | A Short Film,Jacob Bridgman,US,Narrative Film,29,770,1378,1,Her boyfriend; missing.Her memory; unreliable. Will Marly be able to uncover the truth before reality is forgotten?
The Becoming,Edward Matte,US,Young Adult,2,3500,75,0,A thirteen year old girl finds an ancient artifact that has an unforeseen effect on her life.
Cancelled (Canceled),neatoy (deleted),US,Product Design,16,10000,1332,0,This project has been cancelled.
Q'THULU,Bestialwars Miniatures,IT,Tabletop Games,29,999,1839,1,"Lovecraft ... Cthulhu, Q'thulu, Ktulu, Cathulu, Kthulhut...Limited to 250 copies, in White metal."
Burn: The Card Game,Gary Podosek Jr.,US,Tabletop Games,31,6000,1229,0,Burn is a card game where you want to keep as many points you can in your hand. The challenge is what to do when you get burned.
DrElahi.com,Dr. Elahi,US,Technology,0,25000,0,0,Providing health care through the touch of a button
Relicblade: Bone and Darkness Fantasy Miniatures Game,Sean Sutter,US,Tabletop Games,231,8000,19199,1,"Enter the realms of Relicblade with two new factions! Make a dark pact with a sinister new evil, or join the heroic Lone Guard."
TRANSITION PROJECT,Joshua Miller,US,Faith,47,8000,2676,0,Songs that came from a time of major transition in my life. They are the songs that help me draw close to the Lord and transition well.
Get Hyped!,Benson Hostetter & Kevin Kelly,US,Dance,15,1500,1605,1,Get Hyped is creating a culture of estatic joy through our first event: a 70's & 80's themed ROLLER SKATING DANCE PARTY!
Indie eco-feminist zine Cockroach will soon be free!,Meg Crane,CA,Zines,43,10000,1957,0,"This lil' zine is growing up and becoming more accessible. If I can get money to print all 2017 issues, it'll be distributed for free!"
Journal de Gratitude,Christelle Gualdi,FR,Nonfiction,5,2000,125,0,"Un journal de gratitude pour rcolter des moments de bonheur et faire que chaque journe, malgr les difficults, soit magnifique."
GaRaB: Art and Democracy for children,SOKIO Coop.,ES,Children's Books,31,6000,642,0,"Join our Art Club: kids propose and vote for the artist who will illustrate the next issue. New month, new coloring book, new worldview"
The Stories We Share - Ojibwe Documentary,Kaitlin Lenhard,US,Documentary,16,5000,988,0,"How would you tell your story? A film exploring culture, language \\"
Anthony Varrecchia Limited brand,Anthony Varrecchia,US,Fashion,21,10000,2455,0,"My dream to become reality by creating my own unique brand apparel. Looking ahead, expanding. Always reaching for fresh dynamic ideas"
Creepy Clown Hunters Card Game,Nathan Cunningham,US,Playing Cards,9,20000,245,0,"Take the clown invasion into your own hands with our new fun, light-hearted, group card game, Creepy Clown Hunters! Ages  10+"
Marquette Castings: Superior Cast Iron Skillets,Eric Steckling,US,Product Design,577,30000,86612,1,We have set out to create the best skillets ever made by combining a superior casting process with an unparalleled seasoning process.
Help Big Mamas Kitchen Expand,Robin Eggleston,US,Food Trucks,2,20000,11,0,"Hello, my name is Robin Eggleston and I am the owner of Big Mamas Kitchen & Catering.  I am looking to purchase a food truck."
The King in Yellow Christmas Cards,Studio WonderCabinet,US,Stationery,468,2000,10733,1,Make your holidays a little stranger with these 4 King in Yellow inspired Christmas cards beautifully illustrated by Heather Hudson.
FOLLOW ME... a Pay2Play Productions (based on actual events),Kelly Battle,US,Horror,2,100000,21,0,"In 2015, the Gallows became the 2nd most profitable movie (percentage wise) profiting 6,700% of its $100k production cost. We are next!"
Day of the Dead BatCalavera Vinyl Stickers,Jose Pulido,US,Illustration,115,250,1808,1,"Help me get these BatCalavera stickers printed, and get some stickers, a print, and/or a T-Shirt for yourself!"
Power Q Case : The Complete Wireless Charging Experience (Canceled),Boone Collection,CA,Gadgets,58,65000,7254,0,"The freedom of wireless mobile charging without compromise on protection, design and function."
Call Me Brother - a comedy about incest,Christina Parrish,US,Comedy,138,15000,16181,1,"Lisa and Tony are sister and brother who grew up separately and are reunited for one weekend, growing closer than they ever had before."
Northwoods Grooming Company,Chris Dodge,US,Crafts,1,7500,5,0,"Northwoods Grooming Company produces high quality hair, beard, and skin products as well as soaps and shampoos."
Meme Wars - Dank Age,Cruz Aguilar,US,Mobile Games,1,20000,10,0,"A mix of PokemonGo, Game of War- Fire Age, DragonSoul, & Throwdown. Join a clan, collect meme, upgrade features, fight, & compete."
\\,PM Kelly,US,Children's Books,36,2800,3040,1,\\
Draculas Feast: A monstrous game of secrets and deduction,Blue Beard Entertainment,US,Tabletop Games,3910,8000,89188,1,"A 10-minute social deduction game for 4-8 monsters. Featuring gorgeous, thematic art, no lying, and no player elimination!"
"Doors Open, Doors Close",Francine Perlman,US,Installations,48,2200,2399,1,"My new work will showcase art by women in domestic violence shelters, in a January 2017 exhibition, \\"
World's First Lockable / Stackable Metal Deck Box / Dice Box,Sam Zhao,GB,Tabletop Games,38,3000,1655,0,"For: Dice and/or TCG, Top loaders, Magic the Gathering, Mtg, Yugioh, Pokemon, Vanguard, Paying cards, counters, token, toploaders."
Ivy's Vegan Cookbook Meal Delivery Non-Profit Service,Ivy Hunter,US,Vegan,0,9553,0,0,Ivy's vegan cookbook meal delivery service non-profit seed starter fund to serve meals created with her recipes to low-income residents
LOVE 99,Veronica Brady,US,Documentary,175,25000,27705,1,LOVE 99 is a feature documentary following Los Angeles actors as they struggle with their own union for the right to work and create.
City Apparel,Stacey Wozniak Haynes,US,Apparel,17,1800,634,0,"City map graphics on T-shirts, Tanks, and Leggings through sublimation process."
Goblins of Elderstone - The Goblin Tribe Simulator,Lost Goblin,NZ,Video Games,791,40000,50924,1,"Build a goblin village! Manage a chaotic tribe! Survive Winter! Expand, Trade and Conquer! Commune with the Gods! Be the Goblin King!"
Outlanders Phase 3: The People of the Sands.,Paul Field,GB,Tabletop Games,34,999,1824,1,"Featuring a Desert Nomad Tribe suitable for Sc-Fi, Post-Apocalyptic and Steampunk settings. 28mm scale miniatures cast in white metal."
Dog-Proof Armour for Kids,Stephen Brassett,NZ,Children's Books,7,6000,192,0,"Every day, kids get bitten by dogs. Often, the results last a lifetime... Sometimes even death. Childhood education saves lives."
