naslov,avtor,drzava,kategorija,st_backerjev,cilj,pridobljen_denar,uspesnost,povzetek
DeadDots: #SaveGoodDot,"Defcon Games, LLC",US,Mobile Games,49,7500,7830,1,"DeadDots is a mobile top down, gesture based, tower defense, action game with original characters and storyline!"
Parkour - Beyond your Limits,Andrea Lanciano,IT,Publishing,20,4500,406,0,"Parkour  beyond your limits is a Photo guide book, with images, words and explanations collected with passion."
Aloha: Hawaiian style shirts that provide clean water,Aloha for People,US,Apparel,139,25000,25574,1,Hand-woven Guatemalan fabric made into Hawaiian style shirts. Every shirt sold gives a child in Guatemala clean water for 2 years.
WAKUU African Fashion Brand,Daan Vreeburg,NL,Apparel,104,10000,10767,1,"WAKUU makes western-styled apparel in colourful African Kitenge (super wax) fabrics with local partners in Kenya, empowering people."
What If Software Developers Built Houses (The Book),dotNetDave,US,Print,7,10000,252,0,"If you have non-technical friends that just don't understand how software is built, then this book is for them!"
"Synchronicity: Stories of Courage, Love & Everyday Magic",Meredith Rom,US,Nonfiction,188,10000,10563,1,"A book written to inspire you to face your fears, follow your intuition, and find love within."
The Warriors: Turf War (Canceled),Silly Kid Games,US,Tabletop Games,678,60000,58060,0,Choose your gang and hit the streets of NYC in this brutal strategy board game. Waste rival gangs and avoid police to expand your turf!
Lost Stars: An Illustrative Biography,lucidpossesen,US,Illustration,28,1500,2037,1,"Lost Stars is an Illustrative Biography consist of a decade plus years of struggle, hard work and growth as an Artist."
13 - A Short Film,NATASJA FOURIE & KATE VERITY WILSON,GB,Shorts,51,6000,6140,1,A London factory worker falls into a cycle of psychological trauma as he struggles to make any connection with the world at large.
Support Small Business And Big Dreams,Sandy Manning,US,Crafts,0,220,0,0,"Support the dream of 2 sisters who started a business making & selling top quality sewn, crocheted, and quilted gifts at large events!"
This is a safe and judgement free zone to heal! Journal Life,Diane Hoversen-Smith,US,Publishing,2,10000,11,0,#takebackthepen    You can heal and overcome life's challenges or write the joys of daily living.  You are the author of the journey.
2017 Europe Calendar,Adam Frogley,US,Graphic Design,7,500,158,0,Bring Europe home with this 2017 functional artistic calendar. Samples in photo. Get digitals or prints for your home or office.
\\,"Blair Franklin, Mookpark Entertainment",US,Horror,94,25000,10874,0,A short film about creepy clowns and the horrific experience of one poor soul who encounters them.
Elbow Grease Magazine,Tom Sydenham,GB,Publishing,120,1500,2030,1,We document work; from people who are brave enough to do something they love to those who strive to make ends meet.
Ping Pong: Sudden Death,Tyler,US,Shorts,11,750,763,1,An office worker tries to explore Ping Pong as a creative outlet. He gets in too deep when he becomes a factor in an accidental death.
Green Installations on Earth,green installations on earth,IT,Electronic Music,12,2000,254,0,6 euro for Exclusive Limited CD+DIGIPACK Edition  ( Only 300 copies worldwide )
"Poison Dart Frogs, The Documentary",Andrs,ES,Documentary,114,9800,10001,1,This project aims to show Poison Dart Frogs behaviour in their habitats and how ex-situ breeding may be saving  them from extinction.
"The Technology Without Cables | ENQUIRY, More Than a Game",Pentagon Wave Partnership LTD,ES,Playing Cards,38,5000,1206,0,\\
1939: A Graphic Novel,Lee Milewski,US,Graphic Novels,99,4000,4060,1,An original 90+ page graphic novel about a missing girl in New York City and the detective pursuing her.
Halloween Coloring Book For Adults,Temper Thompson,US,Art Books,9,1500,90,0,A fun Halloween coloring book - with 31 illustrations of spooky & ghoulish fun in a fine art coloring book for adults!
Quest for the Last Tree  Issues #1 and #2,Conflux Comix,US,Comic Books,148,6050,8125,1,"The sci-fi / fantasy comic book series about a warrior priestess and a minotaur questing across a frozen, post-apocalyptic wasteland."
Fair-trade handmade jewellery created for the individual,Liz Duesbury,GB,Jewelry,2,5000,35,0,Fair-trade and Ecogold Individualised custom handmade jewellery that can be worn day or night to create a spectacular and unique look
Grow The World You're Dreaming Of - NEW ALBUM!,Hannah Christianson,US,Music,88,5000,5339,1,"Songs? Finished. All this album needs now are those final touches! Help me finish my second album, Grow the World You're Dreaming Of."
The Jotternique Campaign: Jotter Book That Is Uniquely Yours,ClickPress,SG,Product Design,1,5000,2,0,"Jot down important notes, creative inspirations and to-do tasks. Organise your thoughts with your personalised jotter book."
"Switch - A fast-paced, ditch your hand card game",Bored Brothers,US,Tabletop Games,41,15,690,1,"Switch is a brand new card game that involves everyone playing a fast paced, simultaneous card game to ditch their cards first!"
Drones Eye,Drones Eye,CA,Flight,0,80000,0,0,World's First Online Platform for Drones
Aston Abbey Brewing Company,Chuck McKenna,US,Drinks,66,25000,5943,0,"Veteran owned, Aston Abbey Brewing Company will be making amazing Belgian style beers in Aston, Pennsylvania."
Dark City Interviews UK,Dark City Interviews,US,Documentary,2,25000,15,0,A well rounded entertainment magazine offering unfiltered journalism breaking out in the UK with our photography and music documentary!
Kllen: The interactive bookshelf collection,Kllen Bookshelf,ES,Design,58,2000,16582,1,Modular and interactive bookshelf formed by pieces which can be placed differently depending on the objects put on it.
Viktor Dalhbeck,Andreas Ekelf,SE,Thrillers,1,450000,1075,0,Roger Gustavsson something with murder to do? That's the question. A brand new Crime. One of Helsingborg's main movie recording.
